0 0.5455879867316524    0.5466309324065495     0.5401773165954594  
1 0.1409953319998556	0.11357872587218212    0.1341062820567904  
2 0.6763600805282409	0.6630201122333998     0.6739050185097173  
3 0.49815553669712076	0.4684320151439587     0.4954362795709547  
4 0.4344371382455511	0.4096366163101207     0.43443749575413476 
5 0.6138992353082703	0.6065182765885343     0.6173299566439657  
6 0.5026711026872069	0.49258296592219153    0.5047645325393219  
7 0.28387955479655985	0.27002944985871813    0.28304180201351137 
8 0.27051528266452163	0.2577746797274148     0.26890472333801235 
9 0.3742286775619471	0.3663211320969587     0.37317568862241296 
10 0.3991207407351238	 0.39559737244591864    0.3988205844267816 
11 0.36971790853181385	 0.36553600268853004    0.3694831713171881 
12 0.2480913800506547	 0.24121009623508094    0.24695472987154338
13 0.1846978306667557	 0.1772176311673129     0.18342375001966713
14 0.2717220164635396	 0.2663966706153458     0.2711006325562796 
15 0.37012508746834677	 0.3679901582007736     0.3702690950399027 
16 0.30065264956313936	 0.29887221120194085    0.30084670413256787
17 0.14638858602526214	 0.1447904200535319     0.14640650212686232
18 0.19302460527609225	 0.19173307671723763    0.19291363976713813
19 0.2990440563088794	 0.29746899314098585    0.2982086732721425 
20 0.2398150875165262	 0.2400178662413779     0.23951952353895775
21 0.153605006999449	 0.15602726552454982    0.1539613020675794 
22 0.21325983897449746	 0.21420786808011688    0.21271130337447108
23 0.2316097850055326	 0.23156997237001087    0.23059632837317423
24 0.16106535601281458	 0.16362518606824136    0.16126507342958118
25 0.1915162288841541	 0.19283296444031806    0.19069639158353613
26 0.20709383922594968	 0.2071902623332289     0.20503174139368083
27 0.16503842120598175	 0.16823766852848376    0.1643071123702236 
28 0.17185639295703958	 0.1751866374511449     0.17066680937544576
29 0.16593280777388714	 0.16812191593216827    0.16385260730608475
30 0.14785265225421623	 0.15109615877007734    0.1465671302823124 
31 0.14337885324308192	 0.1463322695150289     0.14168764863869268
32 0.12922300905947393	 0.1313561367372729     0.12689667571192523
33 0.11962282514129971	 0.12149576344175358    0.11724177153482046
34 0.11568116459473461	 0.11792156969105849    0.1132994412981181 
35 0.109010898279771	 0.11120113395642156    0.10636600814000532
36 0.09785443400351185	 0.09987099182473527    0.0950410227736844 
37 0.098418786619996	 0.1009873011328788     0.09593386528962035
38 0.09564549925840701	 0.09874023740499235    0.09330264442105553
39 0.10256576456157782	 0.10515706939487679    0.10030602905940153
40 0.10683843096654086	 0.10838829775831589    0.10470564191059772
41 0.1123987519784142	 0.1125274210842832     0.11011902853668307
42 0.12487560222644573	 0.12321232110321663    0.12186435172228614
43 0.13088119443573693	 0.12877586263845392    0.12747481997887727
44 0.14030955187649546	 0.13780735317729179    0.13623514883983123
45 0.13900274560967713	 0.13641472109734243    0.13438343833598126
46 0.13836653514802374	 0.1360233582755318     0.13337816457282162
47 0.1363598013298774	 0.1352902950429255     0.13144734399554442
48 0.13264469446626823	 0.13275510676920568    0.12778381682703008
49 0.1334166779763726	 0.13512344054541142    0.1288123640273733 
50 0.13871329764411977	 0.1415937815432038     0.1345053371648785 
51 0.13227387885979117	 0.13642637580288908    0.12887111133854592
52 0.1203336389812206	 0.12450620443407596    0.11719571479309132
53 0.1056044953701505	 0.109537988790917      0.10278055211422352
54 0.09338594410292377	 0.09535364400187374    0.09009215559548686
55 0.06270132017936117	 0.06399306050357005    0.05936272942401711
56 0.056177539486992605	 0.05569684947269425    0.05216579125725261
57 0.026911308477934437	 0.025146434441043426   0.02247352212615502
58 0.02110161362813437	 0.019209648563638073   0.01658884384331867
59 0.0070250002485979166 0.005780914976111173   0.00290656801390459
60 0.011121832510781273	 0.01195199057932659    0.0152028621399333
61 0.015971615695360965	 0.01782413609399367    0.0202805234496384
62 0.010380314572993434	 0.01104031408780719    0.0143868893396247
63 0.011156350982100962	 0.011113283697196838   0.00728666137994063
64 0.012696496101135797	 0.01325423987372846    0.00906294759541458
65 0.0003945746690063758 0.000147864705212088   0.0034414664132664
66 0.004446656940150523	 0.00490750162726121    0.0079147145760829
67 0.005653581939862837	 0.00649307861003169    0.0091533205728459
68 0.006589895773171865	 0.007010750520741099   0.00297134476515033
69 0.009465765725774167	 0.006646365308253296   0.00496011866213308
70 0.015988152703169896	 0.014273330953033899   0.01233496475767673
71 0.028454077181650928	 0.030089315636468262   0.02594376354979083
72 0.02540741652364479	 0.027431080193877813   0.02282908717969958
73 0.029858897726426824	 0.02836574026837825    0.0325058706295680
74 0.02647537386858474	 0.05930827505226069    0.0610827747382267
75 0.01535148359099849	 0.0733822604492755     0.0693437739612146
76 0.0220069934171556	 0.14439644240854574    0.1425246467189886
77 0.01973598878720323	 0.14438438067836107    0.1499674698226140
78 0.02296680708677596	 0.08904750013911437    0.0943737834630845
79 0.01208628028166534	 0.06160372552784844    0.0634185324786996
